187,80
169,99
166,83
175,72
188,91
173,95
188,94
184,81
182,99
190,92
178,76
186,78
185,83
180,79
175,78
183,87
189,78
190,97
161,90
166,81
186,95
170,75
185,71
181,98
190,73
187,71
161,84
172,99
172,76
178,99
166,73
178,99
183,92
171,71
164,72
178,73
164,95
178,86
183,86
172,94
180,88
181,94
181,72
175,85
187,80
160,90
181,91
176,85
190,91
171,84
189,72
179,76
164,80
178,73
175,81
182,80
165,88
178,71
190,79
163,90
170,77
180,86
164,97
163,87
182,89
187,70
162,99
170,83
179,90
170,98
171,97
180,72
171,85
184,75
188,84
184,99
190,99
168,86
169,74
180,93
186,94
179,86
177,87
185,83
185,77
184,95
188,86
169,97
166,91
187,98
182,89
173,74
188,91
190,81
189,99
183,73
179,94
174,97
171,90
168,95
164,98
174,73
166,95
163,87
190,97
184,97
165,81
174,94
160,73
185,88
187,75
177,96
188,74
185,89
188,96
171,71
190,86
184,89
187,96
187,75
171,70
181,76
182,79
168,80
168,74
166,87
179,78
187,96
190,84
165,82
179,77
178,87
183,71
188,75
161,82
166,74
161,89
173,74
179,87
174,95
188,92
187,88
189,75
186,82
168,97
184,92
181,95
168,89
174,76
170,80
162,74
177,95
160,97
160,89
187,91
167,83
163,94
165,81
190,75
172,94
175,92
184,81
160,82
172,73
185,95
180,95
163,89
188,77
167,79
164,73
188,71
169,84
174,79
189,77
190,99
175,97
167,98
188,91
161,85
169,77
173,82
168,88
165,85
178,93
188,76
169,86
180,87
182,87
184,75
180,77
165,88
171,70
179,79
180,85
164,83
167,84
161,78
174,93
172,96
163,78
184,93
171,77
172,75
165,78
179,84
166,83
163,81
163,73
175,88
189,92
179,92
183,76
168,78
163,83
180,98
180,83
169,82
162,75
169,84
186,71
184,88
180,84
166,93
174,88
185,83
162,71
190,84
162,85
160,81
173,88
162,93
189,78
168,82
166,85
173,87
181,94
170,74
186,98
187,90
165,77
161,88
176,74
170,81
188,78
188,87
165,72
176,74
164,72
175,80
186,77
186,73
171,73
166,92
173,90
179,76
167,76
184,70
166,88
176,85
177,73
181,84
187,72
166,80
189,70
178,86
185,88
160,95
161,76
169,74
188,78
184,86
179,93
183,82
180,76
176,77
161,89
166,75
179,85
172,89
187,72
169,83
168,86
172,71
176,87
177,73
181,80
177,81
165,91
166,99
177,91
179,85
172,73
164,72
190,87
181,95
190,78
165,79
190,92
161,77
176,98
182,71
164,70
168,90
181,70
183,87
160,72
166,70
183,87
174,81
174,77
178,87
175,87
169,92
162,99
183,77
164,88
188,85
181,81
163,90
178,77
187,87
176,79
180,87
175,90
184,99
161,99
190,77
181,80
167,94
173,95
173,76
181,78
190,80
190,94
171,71
180,85
161,92
164,95
179,97
175,85
185,82
172,84
176,77
184,85
160,87
162,91
168,87
162,98
175,95
185,83
173,76
162,73
160,77
183,88
177,76
185,94
180,95
183,99
170,92
173,94
168,87
168,79
163,88
161,94
171,96
179,71
181,82
174,90
166,86
185,78
187,76
188,84
168,82
187,81
187,86
189,70
185,88
189,88
183,83
186,76
173,99
180,81
189,92
180,82
171,71
190,89
184,80
166,85
184,97
162,82
168,79
169,87
181,86
162,85
173,91
184,99
164,92
169,95
166,73
164,86
162,81
179,98
172,88
165,80
179,81
163,73
179,70
176,75
166,77
180,98
162,81
170,83
180,97
164,72
186,96
174,82
164,76
167,74
167,81
190,96
179,80
188,97
178,78
177,91
163,96
181,88
186,76
181,79
168,84
167,72
174,81
171,94
183,93
182,85
168,86
189,88
181,85
190,80
164,92
174,91
164,98
186,93
163,73
164,74
169,82
164,96
180,78
169,91
176,73
188,71
167,72
189,73
165,96
184,99
190,73
166,94
181,94
177,97
177,76
178,77
165,85
164,72
165,71
175,75
163,72
170,97
163,86
184,84
171,78
166,87
190,83
179,73
180,91
168,89
183,89
175,93
169,72
167,91
168,93
183,93
165,90
166,75
160,76
160,72
164,99
170,78
164,73
165,94
174,99
184,84
174,75
184,70
161,89
188,83
188,83
184,94
177,76
182,93
164,75
186,81
